id;email;shipping_address_id;billing_address_id;note;tax;discount;number_item;coupon_code;total_price;delivery_fee;order_status;delivery_method;delivery_status;payment_status;payment_id;checkout_id;reject_reason
1;Ricardo81@hotmail.com;for helpfully resent;hm aw strictly;a repay;23788.82;30703.11;6727;er via freezing;13220.31;28045.82;REFUND;VIETTEL_POST;DELIVERED;PENDING;15454;beep luminous;modulo uh-huh
2;Maymie_Schowalter@yahoo.com;peter;psst fridge;whether;13788.18;12287.23;7041;affront flawless crank;23655.97;31909.42;ACCEPTED;SHOPEE_EXPRESS;DELIVERING;CANCELLED;6323;sane;dither
3;Kathryn.Kris83@gmail.com;despite;ignorant before;irritating;25314.7;2989.02;22273;orangutan quickly;2386.64;7667.07;SHIPPING;SHOPEE_EXPRESS;DELIVERING;PENDING;28806;appease;infill favorable slurp
4;Shanie41@yahoo.com;admirable;ack huzzah now;pity;9971.37;22316.04;27939;jam;29054.2;26104.05;PAID;YAS_EXPRESS;CANCELLED;PENDING;29089;how than;banquette youthful
5;Katrina.Goyette@yahoo.com;since though;gah;adept;6695.28;6233;1683;phooey pace;2710.7;20299.72;COMPLETED;YAS_EXPRESS;DELIVERED;COMPLETED;22099;inasmuch;nor
6;Allen25@hotmail.com;recruit intent yippee;lost to;duh;4054.12;17149.85;20589;delightfully geez;32704.91;6670.5;CANCELLED;GRAB_EXPRESS;CANCELLED;CANCELLED;30077;mmm;subtitle
7;Erich_Marks@gmail.com;provided uphold where;meh drat vastly;after out pungent;21840.84;23394.22;10399;synchronize besides tangible;1553.64;18418.47;CANCELLED;VIETTEL_POST;DELIVERING;COMPLETED;3088;jade;finally
8;Lewis_Abernathy7@hotmail.com;broadly brr scrim;though;wetly outside;30752.96;24465.83;1027;oh;17634.58;26153;REFUND;VIETTEL_POST;PREPARING;COMPLETED;31967;besides questioningly;against agile
9;Joan41@hotmail.com;posterior ack;nuke aha cell;yet given;10022.59;29311.01;32413;round of gah;31440.72;4429.06;ACCEPTED;VIETTEL_POST;PREPARING;COMPLETED;11181;boohoo;aspirate
10;Vickie.Swift20@yahoo.com;amidst helplessly woot;hateful;between without;23795.25;25970.2;28556;classroom which afore;4386.73;29463.19;COMPLETED;SHOPEE_EXPRESS;PREPARING;CANCELLED;27003;psst top categorize;oh snaffle usefully
